player_id,player_name,"{""Australian Open"",""G""}","{""Roland Garros"",""G""}","{""Wimbledon"",""G""}","{""US Open"",""G""}","{""Indian Wells Masters"",""M""}","{""Miami Masters"",""M""}","{""Madrid Masters"",""M""}","{""Rome Masters"",""M""}","{""Canada Masters"",""M""}","{""Cincinnati Masters"",""M""}","{""Shanghai Masters"",""M""}","{""Monte Carlo Masters"",""M""}","{""Paris Masters"",""M""}","{""Dallas"",""500""}","{""Rotterdam"",""500""}","{""Doha"",""500""}","{""Rio de Janeiro"",""500""}","{""Dubai"",""500""}","{""Acapulco"",""500""}","{""Barcelona"",""500""}","{""Munich"",""500""}","{""Hamburg"",""500""}","{""Queen's Club"",""500""}","{""Halle"",""500""}","{""Tokyo"",""500""}","{""Beijing"",""500""}","{""Basel"",""500""}","{""Vienna"",""500""}","{""Washington"",""500""}","{""Brisbane"",""250""}","{""Winston-Salem"",""250""}","{""Hong Kong"",""250""}","{""Adelaide"",""250""}","{""Auckland"",""250""}","{""Montpellier"",""250""}","{""Marseille"",""250""}","{""Delray Beach"",""250""}","{""Buenos Aires"",""250""}","{""Santiago"",""250""}","{""Houston"",""250""}","{""Marrakech"",""250""}","{""Bucharest"",""250""}","{""Geneva"",""250""}","{""Stuttgart"",""250""}","{""'s-Hertogenbosch"",""250""}","{""Mallorca"",""250""}","{""Eastbourne"",""250""}","{""Los Cabos"",""250""}","{""Gstaad"",""250""}","{""Bastad"",""250""}","{""Umag"",""250""}","{""Kitzbuhel"",""250""}","{""Chengdu"",""250""}","{""Hangzhou"",""250""}","{""Stockholm"",""250""}","{""Brussels"",""250""}","{""Almaty"",""250""}","{""Metz"",""250""}","{""Athens"",""250""}","{""ATP Finals"",""F""}"
S0H2,Alexander Shevchenko,10,50,10,10,10,,,10,,,10,,,0,,,50,,,,50,,,,,,,,,,,,,,,,0,,0,,,0,,,,,,,25,,,50,100,,,,25,,,
N0BS,Mariano Navone,10,100,50,10,30,10,30,30,,10,10,10,,,,,50,,,,50,,,,,,,,,0,25,,,25,,,,50,25,,,25,,,,,,,,25,25,,,0,,,,,,
S0HR,Kasidit Samrej,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A829,Radu Albot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
C977,Marin Cilic,,10,200,10,,,10,,,,30,,,,,0,,100,,,,,,,,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,0,25,,,,,
A0K3,Nicolas Arseneault,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0DU,Gustavo Heide,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,
S0GR,Timofey Skatov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,
Y268,Mikael Ymer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,,
R0E0,Chris Rodesch,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG80,Borna Coric,10,,,10,,,10,,10,10,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
K0A3,Patrick Kypson,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H0CD,Alex Hernandez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,
T09X,Clement Tabur,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,
C0JP,Raphael Collignon,,,10,100,,,,,,,,,,,,,,,,,,0,,,,,0,,,,0,,,,,0,,,,,25,,,,,,,,,0,0,,,,,100,,,,
RH16,Casper Ruud,50,50,,50,10,100,1000,200,100,10,10,100,10,330,,,,,50,100,,,,,200,,100,,,,,,,,,,,,,,,,,,,,,,50,,,,,,250,,,,,
R0DG,Holger Rune,200,200,10,50,650,10,10,50,100,200,200,10,,,50,,,,50,500,,,100,,100,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,100,,,,,
SL28,Jan-Lennard Struff,10,10,100,200,10,10,30,,,,,10,,,0,0,,0,,,0,0,,0,,,,,,,,,,25,,50,,,,,,,,25,,,,,0,,,50,,,,,50,,0,
B0HY,Isaac Becroft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
RC91,Arthur Rinderknech,10,10,100,200,10,10,30,10,10,50,650,,50,0,,,,,0,0,,,100,,,50,,,,0,0,,0,,25,,25,,,,,,25,25,,25,,,0,,,100,,,,,,0,,
J551,Nicolas Jarry,10,10,200,10,,,30,30,,10,,10,,,,,50,,,,0,,,,,,,,,50,0,,,,,,,0,0,,,0,0,,25,,,,,,,0,,,,,,,,
DF88,Aziz Dougaz,10,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L0CF,George Loffhagen,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
BU13,Zizou Bergs,10,10,10,100,30,50,10,,10,30,200,,50,,,50,,50,,,100,,,0,50,,,,0,,,25,,165,,100,,,,,,,0,,165,,0,,,,,,0,,,0,,,,
S0JA,Eliot Spizzirri,,,,50,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,25,
CI14,Jay Clarke,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0AG,Jannik Sinner,2000,1300,2000,1300,,,,650,,650,50,,1000,,,,,,,,,,,50,,500,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500
K09F,Pavel Kotov,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
B0QC,Gilles Arnaud Bailly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,
B0EJ,Tristan Boyer,50,,,50,30,,,,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,0,,0,,,,,,,,
M0HD,Alan Magadan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
M0ON,Johannus Monday,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU94,Jaume Munar,10,50,100,200,10,50,10,100,30,10,100,,10,200,,,50,,,50,,,50,,0,,200,,25,,50,100,,,,,,,,,0,,0,,,0,,,,,,,,,,,,,,
GC88,Marcos Giron,100,10,50,50,100,10,30,50,10,10,10,50,10,,,,,,100,,0,0,,0,0,,0,,0,,0,,50,,,,50,,,,,,,,,,50,,,,,,50,,,25,,,50,
J553,Omar Jasika,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0GG,Mattia Bellucci,,10,100,50,,10,10,10,10,10,30,,,,200,,,,0,,,,,,,,,,,,13,,,,25,,,,,,50,,,,0,,25,,,,,,,,,0,,,,
GE33,Daniel Elahi Galan,,50,,10,,,,,,30,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,
MC65,Gael Monfils,200,50,50,10,50,100,30,,10,,,50,,,,,,0,,,,0,0,,,,,,0,25,,,,250,,,,,,,,,,0,,,,,,,,,0,,,,,,,
V832,Aleksandar Vukic,100,10,50,10,10,10,10,30,50,10,10,,50,0,,,,,0,,,,0,,100,,,,25,25,0,,0,,,,0,,,,0,,,,0,,0,0,,,,,,25,,,25,25,,
P0HW,Dino Prizmic,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,25,,,,,,,
HB48,Calvin Hemery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
DA31,Hugo Dellien,,10,10,10,,,,50,10,10,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,0,,,,,,,,,,
N771,Cameron Norrie,10,200,400,100,50,10,50,30,10,10,50,,100,50,,,,,0,0,,,0,,,0,,50,50,,,50,,0,,,50,,,,,,100,,,,0,,,,,,0,,,,,165,,
D0L3,Matej Dodig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
N0AL,Govind Nanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,
DB63,Laslo Djere,,10,10,,,,30,50,,,10,,,,,,,,,50,,,,0,,,,,,,,,,,,,,100,250,,,0,,,0,25,,,0,,,,,,,,0,,0,
B0CD,Jenson Brooksby,10,50,50,50,50,10,,,10,50,30,,,0,,,,,,,,,0,,200,,50,,0,,,,,,,,,,,250,,,,,,,165,,,,,,,,,,,,,
K0EP,Jerome Kym,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,
J0AZ,Kyrian Jacquet,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,
D0DT,Martin Damm,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T0BW,James Trotter,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Z355,Alexander Zverev,1300,400,10,100,10,100,100,200,400,400,50,10,400,,,,100,,50,,500,50,,200,,100,,330,,,,,,,,,,50,,,,,,165,,,,,,,,,,,,,,,,200
WB32,Yibing Wu,,,,,,10,,,,,10,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,0,,,,,,100,,,,,,
Q02L,Ethan Quinn,,100,50,10,10,10,30,,30,30,10,,10,50,,,,,,0,,,,,50,,,,25,,,,,,,,25,,,25,,,,,,25,,,,,,,0,,,,,,,
MN13,Maximilian Marterer,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TD51,Frances Tiafoe,50,400,50,100,50,50,100,10,100,100,10,50,,50,,,,,50,0,,50,0,,0,,,,100,25,,,,,,,,,,165,,,,,,,,,,,,,,,,,,,,
PL56,Tommy Paul,400,400,50,100,100,50,100,400,,50,,,,200,,,,,50,,,,,,,,,,,,,,100,,,,,,,100,,,,,,,0,,,,,,,,,,,,,
B0BI,Sebastian Baez,10,10,10,10,10,10,10,10,,30,30,10,10,,,,500,,,50,,0,,,0,,0,,,,25,,,0,,,,25,165,,,165,,,,,,,,50,,0,,,,0,,,,
N0CS,Lukas Neumayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
B0JG,Leo Borg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,
KI63,Lukas Klein,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MM58,Daniil Medvedev,50,10,10,10,400,10,200,100,50,10,400,100,200,,50,100,,100,,,,,,330,,200,,50,100,,,,,,,100,,,,,,,,,50,,,,,,,,,50,,,250,,,
KI82,Vit Kopriva,,50,10,10,,,10,50,10,10,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,50,,,,,,,,,25,25,,,,,,,,25,
SM88,Karue Sell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
M0G4,Harold Mayot,,,,,,,30,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
N0BG,Luca Nardi,10,10,10,10,10,,,30,,100,30,,,,,50,,100,,,,,,,,,,,,,,,,25,,0,,,,,,0,,,,,,,,,,,,,,,0,,,
BK24,Gregoire Barrere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
TC61,Jordan Thompson,50,10,200,50,10,50,,30,,10,30,50,,,,,,,,,,,0,,0,,,,,50,,,,,,,,,,0,,,,,25,,,,,,,,0,,,,,,,
WB08,Yosuke Watanuki,,,,,100,,,,30,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K966,Martin Klizan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
VA08,Andrea Vavassori,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0BH,Clement Chidekh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
HB64,Quentin Halys,50,100,10,10,30,30,10,10,10,,30,,,,,0,,200,,,,,,50,,,0,,0,,,,,,0,0,,,,,,,25,25,,,0,0,,,,,0,,,0,,0,,
HH26,Ugo Humbert,200,50,10,10,50,10,10,10,,50,50,10,,,,,,50,,,50,,,0,0,,200,,,,,,,,,250,,,,,,,,,100,,100,,,,,,,,165,,,,,
MP01,Michael Mmoh,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,25,,,0,,,,,,,,,,,,,,,,,,,,
C0AU,Francisco Cerundolo,100,10,10,50,200,200,400,100,100,,50,50,100,,,,100,,,,200,50,,0,,0,,50,,,,,,0,,,,165,100,,,,,,,,,,,100,0,,,,,,,,,
H09P,Brandon Holt,,,10,10,,10,,,,10,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,25,,,,,,,,,,,,,,
RC04,Alexander Ritschard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
S0ZE,Colton Smith,,,,,30,,,,10,10,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,50,,,,,,,,0,,,,,,,,,,,,
C0HT,Murphy Cassone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GF95,Hugo Grenier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,
S0TX,Henry Searle,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KE73,Dominik Koepfer,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,
KD46,Thanasi Kokkinakis,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
BK92,Alexander Bublik,10,400,10,200,10,30,100,30,,,10,,400,,0,0,,0,,,0,0,,500,,0,,100,,,,,0,,50,25,,,,,,,,,,,,,250,,,250,,250,,,,0,,
HH06,Marc-Andrea Huesler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D0C1,Jesper de Jong,,50,50,10,,,,50,,,50,,,,,,,,,0,,,,0,,,,,,,,,,,100,,,,,,25,,,,0,,,,,165,50,,,,0,,,,,
CD85,Pablo Carreno Busta,50,50,,50,10,,10,10,30,,,,,,,,,,,0,,,,,,,,,,,13,,,0,,,,,,,25,,,,,,,,,,,,,,,,,,,
P09Z,Alexei Popyrin,10,200,10,50,50,10,10,50,200,50,,200,10,,0,0,,50,,,,,50,,,,,0,0,0,,,,,,,,,,,,,50,,0,,,,,,,,,,0,,,,0,
L0BV,Jiri Lehecka,200,100,50,400,10,10,10,10,100,100,100,50,10,,50,200,,0,,,,100,330,,,,0,,50,250,,,,,,,,,,,,,,50,,,,,,,,,,,,165,,,,
MQ75,Kamil Majchrzak,10,10,200,100,,,10,,,,50,,,,,,,,,,,,,,,,0,,,,25,,,,,,,,,,100,,,,,,,,25,,0,,,,25,,,,0,
BU70,Remy Bertola,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE28,Ivan Gakhov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
N732,Yoshihito Nishioka,50,10,10,10,,10,,10,10,10,50,,,100,,,,,,,,,,,0,,,,25,25,0,,0,,,,25,,,,,,,0,,,,,,,,,,,,,,,,
TC01,Li Tu,10,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
T0A1,Thiago Agustin Tirante,,10,,,,30,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,
S0DE,Dhakshineswar Suresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M0JF,Hamad Medjedovic,,100,10,10,,10,10,10,,50,10,,,,,50,,,,50,,,,,0,,,0,,,50,,,,,165,,,,,,,,,,50,,,,,,,,,,,0,,,
G09O,Hugo Gaston,50,50,10,10,30,30,10,10,30,10,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,0,0,,25,,0,,,,,,,25,,0,,,,,,25,,
SX50,Roman Safiullin,10,10,10,50,30,50,10,10,30,30,,,,,,0,,0,,,,,,,,,,,,,0,0,0,,,,,,,,,,,0,,25,,,,,,,,,,,,,,
BS86,Tomas Barrios Vera,,,,,,,,10,30,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,,,,,,,,,
P0GQ,Mili Poljicak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
G0FW,Vilius Gaubas,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R772,Albert Ramos-Vinolas,,10,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S0RE,Juncheng Shang,10,,,10,,,,,10,10,50,,,,,,,,,,,,,,,0,,,,,,100,,,,,,,,,,,,,,,,,,,,,25,,,,,,,
GH92,Borna Gojo,,,,,,,10,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,
Z09F,Patrick Zahraj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,
P0CT,Francesco Passaro,50,10,,10,,,,50,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,25,,25,,,,,,,0,,
BT68,Elliot Benchetrit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
CH12,Jan Choinski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
LB66,Constant Lestienne,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,
B0U4,Nicolai Budkov Kjaer,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,25,,,,,0,,,,,
Y09V,Yunchaokete Bu,10,10,10,10,30,30,10,10,30,10,30,10,,0,,,0,,0,,,0,,,,0,,,25,,50,0,,0,50,,25,,,,,0,,,,0,,25,,,,,,0,,,,,,
CE77,Federico Coria,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,50,,0,,,,,,,,,,,,,,,,,,,
F724,Marton Fucsovics,,50,100,10,,,,,,,10,,,,,,,0,,,,,,,50,,,,,,250,,,,,,,,,,,100,25,50,,,,,,,,25,,,25,,,,,
D0LJ,Diego Dedura-Palomero,,,,,,,,,,,,,,,,,,,,,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0AK,Oliver Crawford,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF39,Lucas Pouille,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
MK66,Mackenzie McDonald,,10,10,10,30,10,,,30,10,10,,,,,,,,,,,,50,,,,,,25,,13,,,,,,25,,,25,,,,,25,,,,,,,,25,,,,0,,0,
K0AZ,Aleksandar Kovacevic,,10,10,10,10,10,10,10,10,10,10,,10,,0,,,,,,,0,,,,,,0,25,,13,,,,165,,,,,50,,,,,0,,,165,,,,,,0,25,,,0,,
F0F2,Jaime Faria,50,10,10,10,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,0,,0,,,,,,,,
P09O,Zsombor Piros,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z371,Zhizhen Zhang,10,,,,10,,,,,,10,,,,0,0,,0,,,,,,,,0,,,,,,,0,,,50,,,,,,,,,,,,,,,,,,25,,,,,,
P0J1,Rodrigo Pacheco Mendez,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,
F0BY,Jacob Fearnley,100,100,10,50,10,30,50,30,10,10,,,10,,,,,,,50,,,100,,,,,0,,,0,,,,,,,,,,,,25,0,,,25,,,,,,,,25,,,,0,
ME82,Adrian Mannarino,10,,100,200,,,,,30,100,30,,,0,,,,,,,,,,,,50,,,,,,,,0,0,,,,,25,,,,,25,,,0,,,,,,0,,,,0,,
O0A2,Gauthier Onclin,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB88,David Goffin,10,,10,50,30,50,10,,10,10,50,,,,0,,,,100,,100,,,,,0,0,,0,0,0,,0,,0,,,,,,,,,,,,,,25,,,,,0,,0,,,,
D0DP,Liam Draxl,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0GC,Terence Atmane,,10,,,,,,,10,400,10,,10,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,0,,25,,0,,,,,0,,
KE29,Karen Khachanov,100,100,400,50,50,50,50,100,650,100,10,10,100,,,0,,50,,200,,,,200,,0,,0,,,,0,,,,0,,,,,,,50,,50,,,,,,,,,,,,0,,,
R0GO,Henrique Rocha,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0HT,Jack Pinnington Jones,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
T0HA,Learner Tien,200,10,50,10,10,10,10,30,100,30,100,,50,,,,,,100,,0,,,,,330,,,50,,,0,,,,,25,,,0,,,0,25,,50,,,,,,,,50,,,,250,,
J09X,Filip Cristian Jianu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,
D875,Grigor Dimitrov,10,10,200,,100,400,100,10,,,,200,50,,,0,,0,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0IY,Luis Carlos Alvarez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,
B0PG,Alexander Blockx,,,,,,10,,,10,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,25,,
V0AM,Otto Virtanen,10,,,,,,,30,,,,,,,,0,,,,,,,,,,,,,,,,,,,,25,,,,,25,,,,25,,,,,,,,,,,,,,,
DH50,Alejandro Davidovich Fokina,200,50,100,50,10,30,50,10,100,10,50,400,100,50,,,,,330,100,,50,,,,50,330,,330,,,0,25,,,,165,,,,,,,,,,100,0,,,,,,,,50,,,,
EA24,Tomas Martin Etcheverry,50,10,10,50,10,10,30,10,50,30,,50,10,,,,50,,,0,,200,,100,,,,50,,,,,25,,,,,0,50,0,,,,,0,0,,,0,,,0,,50,50,,,,25,
TE30,Alejandro Tabilo,10,50,,10,50,50,,,,10,30,100,,,,,0,,,,,,,,0,,,0,,0,,,,0,,,,0,0,0,,,,,,,,,,,,,250,,,,,,25,
A0E2,Carlos Alcaraz,400,2000,1300,2000,400,10,,1000,,1000,,1000,10,,500,100,,,,330,,,500,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000
M0EJ,Lorenzo Musetti,100,800,10,400,50,100,400,400,50,10,100,650,10,,,,,,,,,,,,,100,,200,0,,,50,,,,,,50,,,,,,,,,,,,,,,165,,,50,,,165,200
SS25,Vitaliy Sachko,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,
VA25,Valentin Vacherot,,,,,,,,,,,1000,50,200,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
BD06,Roberto Bautista Agut,10,10,10,10,10,10,30,30,,50,,50,,,0,0,,50,,,0,100,200,,,,,,,,25,,0,,,,,,,,,25,,,0,50,,,,,,0,,,,,,,,
W367,Stan Wawrinka,10,10,,,,,,,,,10,10,,,0,,,,,0,,,,,,,50,,,,,,,,0,0,,,,,,25,,,,,,,0,,25,,,,,,,,25,
MO44,Pedro Martinez,50,10,100,10,10,10,10,30,10,30,10,50,,,100,,0,,,50,,0,,0,,,,,,,13,25,,0,,,,100,0,,,50,,,,0,,,,,,0,,,,0,,,0,
BF23,Facundo Bagnis,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
R09X,Jurij Rodionov,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0FV,Roman Andres Burruchaga,,,,,,,,30,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,50,,,,,,,,,,,
E687,Daniel Evans,,,50,,,,,,,,,,,,,,,0,,,,,50,,,,,,50,,,,,,,,,,,,,,,,25,,50,,,,,,,,,,,,,
S0KT,Stefanos Sakellaridis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Y218,Elias Ymer,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,50,,,,,
B0ID,Ignacio Buse,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,100,,,0,,,,,,,,
H997,Yannick Hanfmann,10,10,,,,,,,,,50,,,,,,,,,,50,,,0,,,,,,0,,,0,,,,,,25,0,,,,0,,,,,,,,50,,,,25,,,100,
