player_id,player_name,Brisbane,Hong Kong,Adelaide,Auckland,Australian Open,Montpellier,Cordoba,Dallas,Marseille,Buenos Aires,Delray Beach,Rotterdam,Rio De Janeiro,Acapulco,Dubai,Santiago,Indian Wells Masters,Miami Masters,Estoril,Houston,Marrakech,Monte Carlo Masters,Barcelona,Bucharest,Munich,Madrid Masters,Rome Masters,Geneva,Lyon,Roland Garros,'s-Hertogenbosch,Stuttgart,Halle,Queen's Club,Mallorca,Eastbourne,Wimbledon,Bastad,Gstaad,Hamburg,Newport,Atlanta,Kitzbuhel,Umag,Washington,Canada Masters,Cincinnati Masters,Winston-Salem,US Open,Chengdu,Hangzhou,Tokyo,Beijing,Shanghai Masters,Almaty,Antwerp,Stockholm,Basel,Vienna,Paris Masters,Belgrade,Metz,ATP Finals,total_points_earned
C977,Marin Cilic,,0 - R32,,,10 - R128,,,,,0 - R32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 - W,0 - R32,,10 - R128,,,,0 - R32,,10 - R64,25 - R16,,,305
CE77,Federico Coria,,,,,10 - R128,,100 - SF,,,100 - SF,,,0 - R32,,,25 - R16,,,0 - R32,,,10 - R64,,25 - R16,,,,0 - R32,,10 - R128,,,,,,,10 - R128,,,,,,0 - R32,,,,,0 - R64,10 - R128,,,,,,,,,,,,,,,300
GD64,Cristian Garin,,,,,10 - R128,,0 - R32,,,,,,50 - R16,,,0 - R32,,,100 - SF,,,,,,100 - SF,,,,,,,,,,,,10 - R128,,,,,,,,25 - R32,,,,,,,,,,,,,,,,,,,295
D0F6,Gabriel Diallo,,,,,,,,,,,0 - R32,,,,,,,,,,,,,,,,,,,10 - R128,,,,,,,,,,,0 - R32,,,,,10 - R64,,,100 - R32,,,,,10 - R128,165 - F,,,,,,,,,295
CD85,Pablo Carreno Busta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 - R128,,,,,0 - R32,,,,,,,,,,,50 - R32,100 - R16,100 - SF,10 - R128,,,,0 - R32,10 - R128,,,,,,,,,,280
E687,Daniel Evans,,,25 - R16,,10 - R128,,,,,,0 - R32,,,0 - R32,,,10 - R128,30 - R64,,,25 - R16,10 - R64,0 - R64,,,,10 - R128,,0 - R32,10 - R128,,,,0 - R32,,,10 - R128,,,,,,,,,,,0 - R64,100 - R32,,,,,10 - R128,25 - R16,,,,,,,,,275
V0DZ,Luca Van Assche,0 - R32,,,25 - R16,100 - R32,,,,0 - R32,,,,,,0 - R32,,10 - R128,30 - R64,,,0 - R32,,25 - R32,,,30 - R64,,,,10 - R128,,,,,,,10 - R128,,,,,,,0 - R32,25 - R32,,,,,,,,,,,0 - R32,,,,,,0 - R16,,265
BM95,Benjamin Bonzi,,0 - R32,,0 - R32,10 - R128,0 - R32,,,0 - R32,,,,,,,,,,,,,,,0 - R32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 - W,,260
GE33,Daniel Elahi Galan,,,,,50 - R64,,0 - R32,,,25 - R16,,,0 - R32,,,,10 - R128,10 - R128,,25 - R16,,,,,25 - R16,10 - R128,10 - R128,,0 - R32,10 - R128,,,,,,,10 - R128,,25 - R16,,,,25 - R16,,25 - R32,,,,,,,,,,,,,,,,,,,260
KI63,Lukas Klein,25 - R16,,,,50 - R64,,,,,,,,,,,,30 - R64,10 - R128,,,,,,,,30 - R64,,,,,,,,,,,,,25 - R16,,,,0 - R32,,,,,,,25 - R16,,,,,,,,,,,50 - QF,,,245
